mercado,archivo_fuente,fecha_emision,hora_emision,segmento_horario,medio,canal_raw,canal_normalizado,grupo_canal,localidad,spot_tipo,marca_raw,marca_comercial,producto,version,sector,subsector,duracion_segundos,costo_usd_real,costo_usd_estimado,costo_usd_final,is_valid,updated_at
BRASIL,20240901,2024-09-01,00:01:26,Primetime,TELEVISION_CABLE,SPORTV,SporTV,SporTV,NACIONAL,normal,FOOTY MANAGER,FOOTY MANAGER,CARTOLA FC,DEFINICAO,MIDIA,MIDIA ONLINE,30,5600.0,1975.5010511883031,5600.0,true,2026-06-18 23:39:33.427493 UTC
BRASIL,20240901,2024-09-01,00:41:21,Primetime,TELEVISION_CABLE,SPORTV 3,SporTV 3,SporTV,NACIONAL,normal,FOOTY MANAGER,FOOTY MANAGER,CARTOLA FC,DEFINICAO,MIDIA,MIDIA ONLINE,30,310.0,1975.5010511883031,310.0,true,2026-06-18 23:39:33.427493 UTC
BRASIL,20240901,2024-09-01,00:20:20,Primetime,TELEVISION_CABLE,AXN,AXN,Sony Pictures,NACIONAL,normal,SPORTFLIX,$PORTFLIX,SITE APOSTA,BONUS DE ATE 1000,MIDIA,MIDIA ONLINE,15,,1975.5010511883031,1975.5010511883031,true,2026-06-18 23:39:33.427493 UTC
BRASIL,20240901,2024-09-01,01:23:53,Primetime,TELEVISION_CABLE,ESPN,ESPN,ESPN,NACIONAL,patrocínio,WINSHARK,WINSHARK,SITE APOSTA,FUTEBOL,MIDIA,MIDIA ONLINE,5,1327.5,1975.5010511883031,1327.5,true,2026-06-18 23:39:33.427493 UTC
BRASIL,20240901,2024-09-01,01:23:43,Primetime,TELEVISION_CABLE,ESPN,ESPN,ESPN,NACIONAL,patrocínio,NEOWIN,NEOWIN,SITE APOSTA,FUTEBOL,MIDIA,MIDIA ONLINE,5,1327.5,1975.5010511883031,1327.5,true,2026-06-18 23:39:33.427493 UTC
BRASIL,20240901,2024-09-01,01:22:34,Primetime,TELEVISION_CABLE,ESPN,ESPN,ESPN,NACIONAL,patrocínio,BETACTION,BETACTION,SITE APOSTA,BOLA DA VEZ,MIDIA,MIDIA ONLINE,5,1327.5,1975.5010511883031,1327.5,true,2026-06-18 23:39:33.427493 UTC
BRASIL,20240901,2024-09-01,00:26:46,Primetime,TELEVISION_CABLE,ESPN,ESPN,ESPN,NACIONAL,normal,WINSHARK,WINSHARK,SITE APOSTA,PAI VICARI 15,MIDIA,MIDIA ONLINE,15,2655.0,1975.5010511883031,2655.0,true,2026-06-18 23:39:33.427493 UTC
BRASIL,20240901,2024-09-01,01:22:42,Primetime,TELEVISION_CABLE,ESPN,ESPN,ESPN,NACIONAL,normal,BETACTION,BETACTION,SITE APOSTA,ANA PATRICIA,MIDIA,MIDIA ONLINE,15,2655.0,1975.5010511883031,2655.0,true,2026-06-18 23:39:33.427493 UTC
BRASIL,20240901,2024-09-01,00:58:31,Primetime,TELEVISION_CABLE,ESPN3,ESPN 3,ESPN,NACIONAL,normal,SPORTFLIX,$PORTFLIX,SITE APOSTA,BONUS,MIDIA,MIDIA ONLINE,30,760.0,1975.5010511883031,760.0,true,2026-06-18 23:39:33.427493 UTC
BRASIL,20240901,2024-09-01,00:29:21,Primetime,TELEVISION_CABLE,ESPN4,ESPN 4,ESPN,NACIONAL,normal,NEOWIN,NEOWIN,SITE APOSTA,CRIADOR DE APOSTAS,MIDIA,MIDIA ONLINE,30,1860.0,1975.5010511883031,1860.0,true,2026-06-18 23:39:33.427493 UTC
